what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1318334380131
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1318334380181
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1318334380182
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1318334380184
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1318334380187
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1318334380188
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1318334380190
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1318334380192
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1318334380246
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1318334380348
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1318334380348
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1318334380349
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1318334380350
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1318334380351
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1318334380352
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1318334380354
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1318334380355
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1318334380356
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1318334380356
os,sysinfo,,,"win32",1318334380360
arch,sysinfo,,,"x86_64",1318334380360
ws,sysinfo,,,"win32",1318334380360
locale,sysinfo,,,"en_US",1318334380361
processors,sysinfo,,,"4",1318334380361
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318334380361
java.runtime.version,sysinfo,,,"1.7.0-b147",1318334380361
java.specification.name,sysinfo,,,"Java Platform API Specification",1318334380361
java.specification.vendor,sysinfo,,,"Oracle Corporation",1318334380361
java.specification.version,sysinfo,,,"1.7",1318334380361
java.vendor,sysinfo,,,"Oracle Corporation",1318334380361
java.version,sysinfo,,,"1.7.0",1318334380361
java.vm.info,sysinfo,,,"mixed mode",1318334380361
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1318334380361
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318334380361
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1318334380361
java.vm.specification.version,sysinfo,,,"1.7",1318334380361
java.vm.vendor,sysinfo,,,"Oracle Corporation",1318334380361
java.vm.version,sysinfo,,,"21.0-b17",1318334380361
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1318334380455
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1318334381122
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1318334381265
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1318334381266
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1318334381267
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1318334381764
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1318334382224
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1318334382591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318334382841
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1318334383040
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1318334383133
started,bundle,org.eclipse.wst.sse.core,1.1.505.v201104070043,"org.eclipse.wst.sse.core",1318334383252
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1318735899383
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1318735899384
